experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
94,normal,0.1281,20.0,21.5,0.0,0.0
94,compromised,1.2434,24.0,39.5,0.0,0.0
95,normal,0.3234,15.5,26.5,0.0,0.0
95,compromised,0.2104,12.5,33.0,0.04,0.0
96,normal,0.2288,24.0,14.0,0.0,0.0
96,compromised,1.5973,10.670000000000002,28.33,0.0,0.0
97,normal,0.1824,13.0,16.0,0.0,0.0
97,compromised,0.7072,19.0,29.0,0.1299999999999999,0.13
98,normal,0.2024,18.5,18.5,0.0,0.0
98,compromised,0.5311,36.83,56.83,0.12,0.05
99,normal,0.1460999999999999,18.5,27.5,0.0,0.0
99,compromised,0.5842999999999999,25.5,25.5,0.04,0.0
100,normal,0.291,12.5,13.0,0.0,0.0
100,compromised,0.2473,34.0,28.5,0.0899999999999999,0.0
101,normal,0.0727,40.5,22.0,0.0,0.0
101,compromised,0.5875,19.0,17.0,0.01,0.01
102,normal,0.1425,11.0,14.5,0.0,0.0
102,compromised,0.9589,53.0,71.0,0.1400000000000001,0.09
103,normal,0.4918,10.5,22.5,0.0,0.0
103,compromised,0.4466,30.33,45.67,0.3,0.28
104,normal,0.282,18.0,18.0,0.0,0.0
104,compromised,0.7484,32.5,32.5,0.04,0.0
105,normal,0.2868,12.5,17.5,0.0,0.0
105,compromised,0.4047,15.5,18.0,0.1200000000000001,0.11
106,normal,0.3257,14.0,11.0,0.0,0.0
106,compromised,1.2178,19.83,25.5,0.05,0.05
107,normal,0.2202,11.0,26.0,0.0,0.0
107,compromised,0.4247,13.5,24.0,0.06,0.06
108,normal,0.0748,15.0,28.5,0.0,0.0
108,compromised,0.1156,20.5,21.5,0.07,0.07
109,normal,0.1389999999999999,26.0,21.0,0.0,0.0
109,compromised,0.4041,14.5,25.0,0.06,0.06
110,normal,0.754,22.0,22.0,0.0,0.0
110,compromised,0.2535,25.0,37.5,0.08,0.08
111,normal,0.1441,9.5,23.0,0.0,0.0
111,compromised,0.1075,40.5,20.5,0.04,0.0
112,normal,0.2234,10.5,24.0,0.0,0.0
112,compromised,0.5384,30.33,41.67,0.07,0.07
113,normal,0.2811,11.0,20.5,0.0,0.0
113,compromised,0.6819,39.67,55.67,0.35,0.27
114,normal,0.1198999999999999,14.0,16.5,0.0,0.0
114,compromised,0.8037000000000001,10.0,31.0,0.01,0.0
115,normal,0.2351,12.0,26.5,0.0,0.0
115,compromised,0.3636,30.5,32.5,0.0,0.0
116,normal,0.1115,14.5,25.5,0.0,0.0
116,compromised,0.682,14.5,26.0,0.05,0.05
117,normal,0.6318,20.5,26.5,0.0,0.0
117,compromised,1.0947,18.5,18.5,0.07,0.07
118,normal,0.3117999999999999,18.5,20.0,0.0,0.0
118,compromised,0.5399999999999999,12.0,23.0,0.05,0.05
119,normal,0.1135,12.0,14.5,0.0,0.0
119,compromised,0.352,13.5,30.5,0.04,0.0
120,normal,0.3498,11.5,24.5,0.0,0.0
120,compromised,0.1113,9.5,21.5,0.03,0.0
121,normal,0.1618,27.5,23.0,0.0,0.0
121,compromised,0.8623,23.0,20.0,0.05,0.03
122,normal,0.2008,15.0,20.5,0.0,0.0
122,compromised,0.5305,22.0,29.5,0.1899999999999999,0.19
123,normal,0.1248,28.5,24.5,0.0,0.0
123,compromised,0.6396,6.0,37.5,0.1200000000000001,0.12
124,normal,0.135,11.0,28.5,0.0,0.0
124,compromised,0.6374,15.5,28.5,0.1699999999999999,0.16
125,normal,0.1997,17.5,27.0,0.0,0.0
125,compromised,0.6164999999999999,12.0,18.0,0.06,0.0
126,normal,0.2868,13.5,19.5,0.0,0.0
126,compromised,0.8987,50.5,24.5,0.01,0.01
127,normal,0.202,14.0,14.0,0.0,0.0
127,compromised,0.4664,11.0,18.0,0.1899999999999999,0.19
