experiment,label,SPI,PFSI,TFSI,PPR,PPD
132.0,normal,0.1632,18.0,18.0,1.0,0.0
132.0,compromised,0.174,37.67,37.67,0.99,0.0
133.0,normal,0.0959,29.0,53.0,1.0,0.0
133.0,compromised,0.2687,80.67,94.67,1.03,0.03
134.0,normal,0.1098,14.0,41.0,1.0,0.0
134.0,compromised,0.5618,58.67,71.33,1.0,0.0
135.0,normal,0.1504,23.5,24.5,1.0,0.0
135.0,compromised,0.1295,17.5,30.5,1.06,0.06
136.0,normal,0.1111,34.0,34.0,1.0,0.0
136.0,compromised,0.1172,27.0,45.0,1.02,0.02
137.0,normal,0.109,33.0,46.0,1.0,0.0
137.0,compromised,0.5257,84.67,97.67,1.03,0.03
138.0,normal,0.1768,26.5,50.5,1.0,0.0
138.0,compromised,0.394,63.33,90.67,0.99,0.0
139.0,normal,0.2826,45.0,45.0,1.0,0.0
139.0,compromised,0.4272,40.0,40.0,1.03,0.03
140.0,normal,0.1,33.0,33.0,1.0,0.0
140.0,compromised,0.1111,29.0,29.0,0.98,0.0
141.0,normal,0.1899,13.0,26.0,1.0,0.0
141.0,compromised,0.1633,19.0,45.0,1.0,0.0
142.0,normal,0.1157,0.0,0.0,1.0,0.0
142.0,compromised,0.3202,51.67,68.33,1.01,0.01
143.0,normal,0.1626,28.0,41.0,1.0,0.0
143.0,compromised,0.1679,37.5,51.5,1.02,0.02
144.0,normal,0.0748,18.0,44.0,1.0,0.0
144.0,compromised,0.2186,87.0,98.0,1.03,0.03
145.0,normal,0.1861,35.0,35.0,1.0,0.0
145.0,compromised,0.1278,48.0,48.0,1.07,0.07
146.0,normal,0.1966,0.0,0.0,0.0,0.0
146.0,compromised,0.1986,51.0,51.0,1.02,0.02
147.0,normal,0.2095,29.5,31.5,1.0,0.0
147.0,compromised,0.1589,61.67,76.67,1.07,0.07
148.0,normal,0.2413,11.0,26.0,1.0,0.0
148.0,compromised,0.4802,53.67,88.33,1.0,0.0
149.0,normal,0.1798,32.0,40.0,1.0,0.0
149.0,compromised,0.5005,66.0,78.0,1.02,0.02
150.0,normal,0.2246,30.5,32.5,1.0,0.0
150.0,compromised,0.2665,56.0,56.0,1.0,0.0
151.0,normal,0.0938,28.5,34.5,1.0,0.0
151.0,compromised,0.4044,79.0,78.0,0.98,0.0
152.0,normal,0.1124,14.5,53.5,1.0,0.0
152.0,compromised,0.9,77.33,77.33,1.0,0.0
153.0,normal,0.2166,25.0,28.0,1.0,0.0
153.0,compromised,0.2148,23.0,40.0,0.99,0.0
154.0,normal,0.1511,0.0,0.0,0.0,0.0
154.0,compromised,0.3043,56.33,71.33,1.03,0.03
155.0,normal,0.1072,23.0,49.0,1.0,0.0
155.0,compromised,0.0682,14.5,59.5,0.99,0.0
156.0,normal,0.2377,34.0,40.0,1.0,0.0
156.0,compromised,0.6121,50.67,56.33,1.03,0.03
157.0,normal,0.1273,25.0,30.0,1.0,0.0
157.0,compromised,0.4422,48.5,48.5,0.0,0.0
158.0,normal,0.2189,13.0,29.0,1.0,0.0
158.0,compromised,0.179,5.0,34.0,1.0,0.0
159.0,normal,0.0933,34.5,56.5,1.0,0.0
159.0,compromised,0.5631,96.0,133.0,1.03,0.03
160.0,normal,0.1066,6.0,52.0,1.0,0.0
160.0,compromised,0.4559,67.0,96.0,1.02,0.02
161.0,normal,0.2449,24.0,29.0,1.0,0.0
161.0,compromised,1.2717,43.67,59.67,0.99,0.0
162.0,normal,0.4009,26.0,26.0,1.0,0.0
162.0,compromised,0.1529,64.0,64.0,1.01,0.01
163.0,normal,0.1579,20.0,0.0,1.0,0.0
163.0,compromised,0.2965,14.5,12.5,1.06,0.06
164.0,normal,0.1704,0.0,0.0,1.0,0.0
164.0,compromised,0.22,9.5,40.5,1.0,0.0
165.0,normal,0.3425,39.5,49.5,1.0,0.0
165.0,compromised,0.2471,59.67,73.67,1.0,0.0
166.0,normal,0.0622,17.0,43.0,1.0,0.0
166.0,compromised,0.1764,75.33,94.67,1.07,0.07
167.0,normal,0.2,0.0,0.0,1.0,0.0
167.0,compromised,0.6961,59.0,62.0,1.0,0.0
168.0,normal,0.0556,25.0,35.0,1.0,0.0
168.0,compromised,0.2189,58.67,83.33,0.99,0.0
169.0,normal,0.1068,23.0,12.0,1.0,0.0
169.0,compromised,0.2096,15.0,21.0,0.99,0.0
170.0,normal,0.0731,26.0,42.0,1.0,0.0
170.0,compromised,0.2692,48.67,72.67,1.0,0.0
171.0,normal,0.1045,27.5,46.5,1.0,0.0
171.0,compromised,0.305,34.0,34.0,0.99,0.0
172.0,normal,0.1667,15.0,31.0,1.0,0.0
172.0,compromised,0.4098,45.67,70.33,1.0,0.0
173.0,normal,0.0532,53.0,53.0,1.0,0.0
173.0,compromised,0.152,57.0,57.0,0.0,0.0
174.0,normal,0.0985,53.0,53.0,1.0,0.0
