experiment,label,SPI,PFSI,TFSI,PPR,PPD
78.0,normal,0.3264,215.0,330.0,1.0,0.0
78.0,compromised,0.233,394.0,433.0,1.04,0.04
79.0,normal,0.1471,14.0,313.0,1.0,0.0
79.0,compromised,0.4268,129.0,239.0,1.0,0.0
80.0,normal,0.1494,44.0,267.0,1.0,0.0
80.0,compromised,0.393,405.33,582.67,0.99,0.0
81.0,normal,0.0825,176.0,299.0,1.0,0.0
81.0,compromised,0.3079,217.5,413.5,1.02,0.02
82.0,normal,0.1483,30.0,259.0,1.0,0.0
82.0,compromised,0.5172,251.67,398.33,1.0,0.0
83.0,normal,0.155,18.0,268.0,1.0,0.0
83.0,compromised,0.1638,67.0,320.0,1.0,0.0
84.0,normal,0.1833,27.0,267.0,1.0,0.0
84.0,compromised,0.3563,27.5,251.5,0.99,0.0
85.0,normal,0.1826,265.0,339.0,1.0,0.0
85.0,compromised,0.3368,492.33,635.33,1.02,0.02
86.0,normal,0.1385,11.0,277.0,1.0,0.0
86.0,compromised,0.746,343.67,490.33,1.0,0.0
87.0,normal,0.1817,15.0,201.0,1.0,0.0
87.0,compromised,0.3774,221.0,347.0,1.0,0.0
88.0,normal,0.1793,56.0,216.0,1.0,0.0
88.0,compromised,0.6419,310.0,423.0,1.0,0.0
89.0,normal,0.1566,65.0,228.0,1.0,0.0
89.0,compromised,0.7601,216.33,342.33,1.01,0.01
90.0,normal,0.129,33.0,227.0,1.0,0.0
90.0,compromised,0.3961,196.5,236.5,1.01,0.01
91.0,normal,0.2012,15.0,207.0,1.0,0.0
91.0,compromised,0.2546,124.5,278.5,1.0,0.0
92.0,normal,0.1288,13.5,264.5,1.0,0.0
92.0,compromised,0.5338,341.33,491.67,1.0,0.0
93.0,normal,0.2099,114.0,328.0,1.0,0.0
93.0,compromised,0.4045,218.33,351.67,1.0,0.0
94.0,normal,0.1487,147.0,285.0,1.0,0.0
94.0,compromised,0.3601,154.5,324.5,1.0,0.0
95.0,normal,0.1667,44.0,247.0,1.0,0.0
