experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
101.0,compromised,0.7223999999999999,15.5,48.5,0.0,0.0
102.0,normal,0.2845,26.0,61.0,0.0,0.0
102.0,compromised,0.1744,25.0,50.0,0.0699999999999999,0.0
103.0,normal,0.1652,58.0,82.0,0.0,0.0
103.0,compromised,1.2634,8.5,50.5,0.03,0.0
104.0,normal,0.2024,43.0,63.0,0.0,0.0
104.0,compromised,1.2807,47.0,84.5,0.0699999999999999,0.0
105.0,normal,0.2923,11.5,48.0,0.0,0.0
105.0,compromised,0.9875,34.0,53.5,0.0,0.0
106.0,normal,0.3231,16.0,50.5,0.0,0.0
106.0,compromised,1.2185,23.0,54.0,0.1399999999999999,0.13
107.0,normal,0.1528,54.0,69.0,0.0,0.0
107.0,compromised,1.6451,22.0,104.0,0.09,0.09
108.0,normal,0.2223,22.0,71.0,0.0,0.0
108.0,compromised,0.7429,27.0,54.5,0.0,0.0
109.0,normal,0.3424999999999999,24.5,56.5,0.0,0.0
109.0,compromised,0.52,22.0,49.5,0.02,0.0
110.0,normal,0.1372,31.0,56.0,0.0,0.0
110.0,compromised,0.2463,19.0,57.0,0.1200000000000001,0.11
111.0,normal,0.0857,17.0,55.0,0.0,0.0
111.0,compromised,0.8945,73.0,108.0,0.03,0.02
112.0,normal,0.4093,25.0,49.5,0.0,0.0
112.0,compromised,1.5001,35.0,49.0,0.0,0.0
113.0,normal,0.1744,51.5,51.0,0.0,0.0
113.0,compromised,1.6494,15.5,42.5,0.02,0.02
114.0,normal,0.2649,16.0,50.0,0.0,0.0
114.0,compromised,1.6225,52.5,91.5,0.0,0.0
115.0,normal,0.1558,49.0,64.0,0.0,0.0
115.0,compromised,0.3638,16.5,45.5,0.01,0.0
116.0,normal,0.2557,27.5,39.5,0.0,0.0
116.0,compromised,0.6865,25.0,45.0,0.0,0.0
117.0,normal,0.1775,88.0,77.5,0.0,0.0
117.0,compromised,0.6387999999999999,40.5,55.0,0.0,0.0
118.0,normal,0.1553999999999999,39.0,59.5,0.0,0.0
118.0,compromised,0.8646,111.17,136.17,0.0,0.0
119.0,normal,0.1501,37.0,70.0,0.0,0.0
119.0,compromised,0.9353,71.67,92.67,0.06,0.04
120.0,normal,0.3055,24.5,73.5,0.0,0.0
120.0,compromised,0.6831,34.5,67.5,0.1,0.09
121.0,normal,0.1729,33.0,69.0,0.0,0.0
121.0,compromised,0.1464,25.5,59.5,0.09,0.09
122.0,normal,0.1888999999999999,67.5,78.5,0.0,0.0
122.0,compromised,1.3501,55.33,101.67,0.01,0.01
123.0,normal,0.206,22.5,60.5,0.0,0.0
123.0,compromised,1.1563,15.5,87.0,0.05,0.02
124.0,normal,0.1220999999999999,36.0,57.5,0.0,0.0
124.0,compromised,0.235,19.5,66.5,0.04,0.04
125.0,normal,0.1976,21.0,62.5,0.0,0.0
125.0,compromised,0.4217999999999999,17.5,61.0,0.09,0.03
126.0,normal,0.4585,16.0,54.0,0.0,0.0
126.0,compromised,1.7654,57.5,60.0,0.03,0.0
127.0,normal,0.3217,24.0,47.0,0.0,0.0
127.0,compromised,0.1056,104.0,83.5,0.0,0.0
128.0,normal,0.3443,20.0,53.0,0.0,0.0
128.0,compromised,0.2711,13.5,57.5,0.04,0.0
129.0,normal,0.2299,50.0,62.0,0.0,0.0
129.0,compromised,0.4291,73.5,85.0,0.09,0.09
130.0,normal,0.2272,32.5,93.5,0.0,0.0
130.0,compromised,0.5465,20.5,65.5,0.0,0.0
131.0,normal,0.2671,99.0,94.0,0.0,0.0
131.0,compromised,1.0629,43.5,62.5,0.0,0.0
132.0,normal,0.1675999999999999,73.0,63.5,0.0,0.0
132.0,compromised,0.4498,66.0,69.5,0.1899999999999999,0.19
133.0,normal,0.2102,34.5,46.5,0.0,0.0
133.0,compromised,0.3581,14.5,49.5,0.08,0.08
134.0,normal,0.1791,22.0,59.0,0.0,0.0
134.0,compromised,1.2046,45.0,91.0,0.1,0.1
135.0,normal,0.2762,36.0,54.5,0.0,0.0
135.0,compromised,0.2384,25.0,62.0,0.09,0.09
136.0,normal,0.2422,20.0,50.5,0.0,0.0
136.0,compromised,0.1971,28.0,74.0,0.0,0.0
137.0,normal,0.291,18.0,45.5,0.0,0.0
137.0,compromised,0.6269,60.5,84.5,0.1400000000000001,0.1
138.0,normal,0.2448999999999999,23.0,58.0,0.0,0.0
138.0,compromised,0.2384,92.5,70.5,0.03,0.0
139.0,normal,0.1174,48.0,69.5,0.0,0.0
139.0,compromised,0.4193,17.0,42.0,0.1799999999999999,0.18
140.0,normal,0.1953,18.0,37.0,0.0,0.0
140.0,compromised,1.1162999999999998,116.0,113.0,0.0,0.0
141.0,normal,0.1118999999999999,40.5,85.5,0.0,0.0
141.0,compromised,0.6436,81.0,71.0,0.1799999999999999,0.17
142.0,normal,0.3085,13.5,55.5,0.0,0.0
142.0,compromised,0.5762,46.5,68.5,0.1200000000000001,0.11
143.0,normal,0.2375,32.0,51.0,0.0,0.0
143.0,compromised,1.5151,19.5,37.5,0.0,0.0
144.0,normal,0.2408,43.5,54.5,0.0,0.0
144.0,compromised,1.3377,34.67,109.0,0.1499999999999999,0.15
145.0,normal,0.2181,19.0,51.0,0.0,0.0
145.0,compromised,0.2750999999999999,32.5,59.5,0.25,0.25
146.0,normal,0.5231,16.0,55.5,0.0,0.0
146.0,compromised,1.1562,103.83,116.83,0.2099999999999999,0.21
147.0,normal,1.0771,23.0,35.0,0.0,0.0
147.0,compromised,3.808,34.17,46.83,0.0,0.0
148.0,normal,0.3045,27.5,39.0,0.0,0.0
148.0,compromised,0.663,21.0,35.0,0.0,0.0
149.0,normal,1.1625,14.0,14.0,0.0,0.0
149.0,compromised,0.3445,52.5,37.5,0.15,0.01
150.0,normal,0.2703,18.0,27.0,0.0,0.0
150.0,compromised,0.3089,18.5,32.5,0.01,0.0
151.0,normal,0.2964,22.0,24.0,0.0,0.0
151.0,compromised,0.6468,37.83,32.83,0.09,0.09
152.0,normal,1.0352,9.0,17.5,0.0,0.0
152.0,compromised,0.5515000000000001,59.67,53.67,0.0,0.0
153.0,normal,0.2356999999999999,20.0,13.0,0.0,0.0
153.0,compromised,3.5505000000000004,25.5,24.0,0.0,0.0
154.0,normal,0.3016999999999999,20.5,16.0,0.0,0.0
154.0,compromised,0.5151,40.0,54.0,0.08,0.06
155.0,normal,0.3961,22.0,22.5,0.0,0.0
155.0,compromised,1.0192,31.33,32.33,0.1899999999999999,0.19
156.0,normal,0.5051,6.5,21.0,0.0,0.0
156.0,compromised,0.4437,38.5,21.5,0.03,0.03
157.0,normal,0.4768999999999999,21.0,19.0,0.0,0.0
157.0,compromised,0.6993,23.0,38.0,0.09,0.09
